categoria_id;nombre;abreviatura;logo
1001;PlayStation 4;PS4;https://cdn.worldvectorlogo.com/logos/playstation-4.svg
977;Nintendo 3DS;N3DS;https://cdn.worldvectorlogo.com/logos/nintendo-3ds.svg
834;Nintendo DS;NDS;https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Nintendo_DS_Logo.svg/2000px-Nintendo_DS_Logo.svg.png
830;PC;PC;https://cdn.worldvectorlogo.com/logos/pc-magazine-2.svg
821;PlayStation 3;PS3;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/PS3.svg/2000px-PS3.svg.png
990;PlayStation Vita;PS Vita;https://cdn.worldvectorlogo.com/logos/playstation-vita.svg
862;PlayStation Portable;PSP;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/PSP_Logo.svg/753px-PSP_Logo.svg.png
831;Nintendo Wii;Wii;https://cdn.worldvectorlogo.com/logos/wii.svg
996;Nintendo Wii U;Wii U;https://cdn.worldvectorlogo.com/logos/wii-u.svg
827;Xbox 360;X360;https://cdn.worldvectorlogo.com/logos/xbox-360.svg
1002;Xbox One;XOne;https://cdn.worldvectorlogo.com/logos/xbox-one-2.svg